EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlySalary,JobSatisfaction,TrainingHours,MaritalStatus,Attrition
1,29.0,Male,Operations,Executive,0,61048.0,2,17,Single,Yes
2,49.0,Male,Marketing,Engineer,1,28905.0,1,0,Divorced,Yes
3,34.0,Male,Finance,Engineer,11,110181.0,5,8,Single,No
4,32.0,Male,HR,Manager,11,80392.0,3,3,Single,No
5,46.0,Male,Operations,Associate,3,72052.0,3,17,Single,No
6,,Male,Operations,Executive,2,97357.0,3,1,Divorced,No
7,36.0,Female,IT,Associate,9,35458.0,2,20,Married,Yes
8,32.0,Male,Marketing,Specialist,5,71566.0,2,5,Divorced,No
9,37.0,Male,Operations,Manager,5,85589.0,4,1,Single,No
10,24.0,Male,Marketing,Specialist,2,77581.0,3,10,Single,Yes
11,53.0,Female,HR,Analyst,25,109259.0,4,17,Divorced,Yes
12,38.0,Male,HR,Engineer,13,101484.0,4,15,Single,No
13,25.0,Male,,Associate,0,45033.0,2,19,Married,No
14,55.0,Female,Operations,Manager,16,97512.0,1,3,Married,Yes
15,49.0,Male,Marketing,Executive,5,84470.0,1,20,Married,No
16,54.0,Male,Marketing,Manager,12,45032.0,3,15,Single,Yes
17,29.0,Male,Marketing,Executive,5,65306.0,2,2,Divorced,Yes
18,53.0,Female,Marketing,Analyst,4,94822.0,2,8,Divorced,Yes
19,49.0,Female,Operations,Specialist,6,95686.0,2,11,Married,No
20,55.0,Male,IT,Executive,28,40860.0,2,18,Divorced,Yes
21,36.0,Male,Sales,Executive,7,,1,10,Single,Yes
22,54.0,Male,Operations,Engineer,15,61500.0,4,18,Married,Yes
23,37.0,Male,Operations,Associate,15,78354.0,2,11,Married,Yes
24,48.0,Female,Operations,Manager,14,32100.0,1,3,Single,Yes
25,34.0,Female,HR,Manager,3,95292.0,4,14,Single,Yes
26,26.0,Male,Sales,Analyst,3,97132.0,1,5,Married,Yes
27,53.0,Male,Finance,Executive,30,53016.0,4,12,Married,Yes
28,51.0,Male,HR,Manager,9,80444.0,5,6,Single,No
29,56.0,Female,Marketing,Engineer,3,66104.0,1,5,Single,Yes
30,54.0,Male,Finance,Executive,5,49356.0,1,18,Single,Yes
31,24.0,Female,HR,Specialist,0,79948.0,5,10,Single,No
32,38.0,Female,Sales,Executive,12,42154.0,3,14,Divorced,No
33,58.0,Female,HR,Manager,6,34602.0,5,2,Single,Yes
34,45.0,Male,Operations,Engineer,9,45676.0,4,9,Divorced,No
35,28.0,Male,IT,Manager,2,59664.0,1,19,Single,Yes
36,43.0,Female,Sales,Executive,0,115111.0,3,20,Married,No
37,39.0,Female,HR,Specialist,1,25464.0,3,14,Divorced,Yes
38,49.0,Male,Marketing,Executive,17,26267.0,1,11,Divorced,Yes
39,57.0,Female,IT,Executive,9,81333.0,2,11,Single,Yes
40,37.0,Male,HR,Analyst,3,71357.0,5,5,Married,No
41,23.0,Female,HR,Specialist,0,68540.0,5,3,Married,Yes
42,24.0,Female,IT,Analyst,3,54154.0,2,7,Single,No
43,34.0,Female,IT,Specialist,6,68025.0,3,16,Married,Yes
44,56.0,Male,Marketing,Manager,21,28617.0,1,1,Single,No
45,49.0,Female,Marketing,Analyst,11,66114.0,4,8,Single,Yes
46,49.0,Female,Finance,Executive,0,93146.0,5,10,Married,Yes
47,42.0,Female,IT,Associate,21,41334.0,3,9,Divorced,No
48,30.0,Female,Finance,Engineer,3,80108.0,4,0,Married,Yes
49,40.0,Female,Finance,Associate,6,81346.0,5,6,Divorced,No
50,52.0,Female,Sales,Analyst,10,111356.0,1,9,Single,No
51,34.0,Female,Marketing,Executive,2,28201.0,1,14,Married,Yes
52,58.0,Female,HR,Analyst,12,119155.0,4,20,Divorced,No
53,22.0,Female,Sales,Engineer,0,80724.0,2,7,Single,Yes
54,51.0,Female,Marketing,Specialist,4,85901.0,5,16,Married,No
55,57.0,Female,HR,Specialist,28,45861.0,4,8,Divorced,No
56,53.0,Female,HR,Manager,15,60992.0,4,10,Married,Yes
57,56.0,Female,Operations,Analyst,5,43136.0,2,6,Single,Yes
58,48.0,Female,Sales,Analyst,13,68369.0,5,13,Married,No
59,23.0,Female,IT,Associate,2,74857.0,4,13,Divorced,Yes
60,56.0,Female,Finance,Executive,14,88993.0,2,12,Married,No
61,47.0,Male,Finance,Engineer,23,46632.0,4,18,Divorced,Yes
62,23.0,Female,HR,Executive,0,109246.0,4,8,Married,Yes
